Name,Activity name,Activity code,Amount
DHN_COGEN_WASTE,"treatment of waste plastic, mixture, municipal incineration",w9qkcpjw7tzt31awen4kxrs5zl9vkz97,0.07555506356080281
DHN_COGEN_WASTE,"treatment of sewage sludge, 70% water, WWT, heat carrier liquid, 40% C3H8O2, municipal incineration",4gpqmxq8o8d23lf01m3xk567w3md0xws,8.796603986101573e-08
DHN_COGEN_WASTE,"treatment of biowaste, municipal incineration",n095189g984l8uo11ios3tn7or4taiqb,0.05903086183473824
DHN_COGEN_WASTE,"treatment of waste rubber, unspecified, municipal incineration",sz9reianhju7y7jlkiecy36jr73y5wh8,0.00597053940406653
DHN_COGEN_WASTE,"treatment of raw sewage sludge, municipal incineration",5kbx1dvmwcpt8otf577t7auvofw8svw5,0.001997262697870713
DHN_COGEN_WASTE,"treatment of sewage sludge, 70% water, WWT, WW, average, municipal incineration",ntzfcvh5009mvq371ft9kvv6ra6dx8wj,1.359335863373781e-06
DHN_COGEN_WASTE,"treatment of waste emulsion paint, municipal incineration",akb2co81rkj0nvwpz6qcy7kyf1w9o767,0.004676113974171375
DHN_COGEN_WASTE,"treatment of waste polyvinylchloride, municipal incineration",av6fg82p8omvx5n6ury1w2ppxorshtcm,0.006160978774061147
DHN_COGEN_WASTE,"treatment of residue from shredder fraction from manual dismantling, municipal incineration",jhowkohwngx9l3bg3ma3f5zuywrpdkl6,0.003339376199807556
DHN_COGEN_WASTE,"treatment of waste polypropylene, municipal incineration",awc6sm3e8jkue35kxrtetexp0kidsuyi,0.02401089815079357
DHN_COGEN_WASTE,"treatment of waste polyvinylfluoride, municipal incineration",l0pwpwnhnm5ncdt0dhh5ct07kdtnjl4e,0.0007900089519034191
DHN_COGEN_WASTE,"treatment of sewage sludge, 70% water, WWT, WW from concrete production, municipal incineration",ihj793knx3fqpql2xnrxvy4ielj7nz81,2.034467379614961e-09
DHN_COGEN_WASTE,"treatment of residue from mechanical treatment, IT accessory, municipal incineration",msmbbcsmblqnvlfuq8s105pz2klz079e,0.0003753664263533487
DHN_COGEN_WASTE,"treatment of sewage sludge, 70% water, WWT, WW from CRT production, municipal incineration",nk846rqb5rx5foiue18uou7x0cqphho9,9.206405630948103e-15
DHN_COGEN_WASTE,"treatment of sewage sludge, 70% water, WWT, WW, average, municipal incineration",jwkqwolvlsv97kstt45dhelc8jprdl6c,1.154013357849329e-07
DHN_COGEN_WASTE,"treatment of sewage sludge, 70% water, WWT, WW from maize starch production, municipal incineration",4liu6ap599vj1wy63we6f33bozdwdgwr,0.0005915187340662672
DHN_COGEN_WASTE,"treatment of residue from mechanical treatment, industrial device, municipal incineration",fnu5ohm4bq64tmvhzc1ixai5xf3u6s1z,0.001045575927107973
DHN_COGEN_WASTE,"treatment of sewage sludge, 70% water, WWT[R], WW from anaerobic digestion of whey, municipal incineration",tdi4hk6oo1vxghp9ccxcx6yj1hjzm6wn,0.007028617596899336
DHN_COGEN_WASTE,"treatment of waste wire plastic, municipal incineration",3lm758ebs1358ols8n76lca14g5vohps,0.0002433077833355358
DHN_COGEN_WASTE,"treatment of sewage sludge, 70% water, WWT, WW from hard fibreboard production, municipal incineration",xec1xqfhy44vj1vuld7smg7luqwcc2h5,4.327561580329696e-06
DHN_COGEN_WASTE,"treatment of residue from mechanical treatment, laser printer, municipal incineration",md0ko7qd686jp2ib6w9v7ju66zass977,0.0003085892768496114
DHN_COGEN_WASTE,"treatment of waste building wood, chrome preserved, municipal incineration",29m97fpcm10u9sjvonv7dg7u5zss9e02,0.0009529835823144692
DHN_COGEN_WASTE,"treatment of waste bitumen sheet, municipal incineration",ond2z1o9ea0skw8004fw1uk09fmgelbg,0.005279233372988365
